amfi_code,HHI,portfolio_type
100016,1395.3385999999998,Diversified
100033,1475.9226,Diversified
101206,1293.3173000000002,Diversified
101207,2007.0043,Concentrated
102885,1747.0902,Concentrated
102886,1146.9283999999998,Diversified
102887,1298.0495,Diversified
118632,1682.982,Concentrated
118633,1214.6086,Diversified
118634,1083.5772,Diversified
118635,1359.4415,Diversified
119092,2064.4766999999997,Concentrated
119093,1308.9424000000001,Diversified
119094,1364.0591,Diversified
119095,1096.0535,Diversified
119551,1187.1552,Diversified
119552,1080.1068999999998,Diversified
119598,1073.4895000000001,Diversified
119599,1747.5096,Concentrated
120503,1408.7026,Diversified
120504,1086.7415,Diversified
120505,1575.7036,Concentrated
120506,1537.936,Concentrated
120841,1496.8035,Diversified
120842,1274.3881,Diversified
120843,1286.8306,Diversified
125497,1365.8554,Diversified
125498,1524.1398,Concentrated
148567,1385.8417,Diversified
148568,1679.2973,Concentrated
148569,1493.9642000000001,Diversified
149322,1343.9796999999999,Diversified
149323,1416.2096,Diversified
149324,1186.771,Diversified
